Date,Fish_Num,Rack,Bin,Rack_Bin,Mass_g,Length_mm,TagID,Month
5/04/2023,121,3,11,3.11,2.003,73,YL,0
29/04/2023,121,3,11,3.11,1.85,71,YL,1
24/05/2023,121,3,11,3.11,2.06,74,YL,2
17/06/2023,121,3,11,3.11,2.29,79,YL,3
5/04/2023,122,3,11,3.11,1.923,74,YR,0
29/04/2023,122,3,11,3.11,1.91,72,YR,1
24/05/2023,122,3,11,3.11,2.64,75,YR,2
17/06/2023,122,3,11,3.11,2.69,78,YR,3
5/04/2023,123,3,11,3.11,0.594,53,BrL,0
29/04/2023,123,3,11,3.11,0.42,51,BrL,1
24/05/2023,123,3,11,3.11,0.58,51,BrL,2
17/06/2023,123,3,11,3.11,0.76,57,BrL,3
5/04/2023,124,3,11,3.11,2.048,73,BrR,0
29/04/2023,124,3,11,3.11,2.09,73,BrR,1
24/05/2023,124,3,11,3.11,3.57,82,BrR,2
17/06/2023,124,3,11,3.11,4.97,90,BrR,3
5/04/2023,125,3,11,3.11,2.18,76,RL,0
29/04/2023,125,3,11,3.11,1.99,75,RL,1
24/05/2023,125,3,11,3.11,2.09,75,RL,2
17/06/2023,125,3,11,3.11,2.45,81,RL,3
5/04/2023,126,3,11,3.11,2.461,76,RR,0
29/04/2023,126,3,11,3.11,1.27,76,RR,1
24/05/2023,126,3,11,3.11,2.88,80,RR,2
17/06/2023,126,3,11,3.11,3.78,86,RR,3
5/04/2023,127,3,11,3.11,1.883,73,BL,0
29/04/2023,127,3,11,3.11,1.74,71,BL,1
24/05/2023,127,3,11,3.11,2.18,72,BL,2
17/06/2023,127,3,11,3.11,2.64,79,BL,3
5/04/2023,128,3,11,3.11,1.592,70,BR,0
29/04/2023,128,3,11,3.11,1.8,72,BR,1
24/05/2023,128,3,11,3.11,2.9,78,BR,2
17/06/2023,128,3,11,3.11,5.53,97,BR,3
5/04/2023,129,3,12,3.12,1.803,73,YL,0
30/04/2023,129,3,12,3.12,1.58,70,YL,1
25/05/2023,129,3,12,3.12,2.13,76,YL,2
18/06/2023,129,3,12,3.12,3.02,84,YL,3
5/04/2023,130,3,12,3.12,1.429,67,YR,0
30/04/2023,130,3,12,3.12,1.15,68,YR,1
25/05/2023,130,3,12,3.12,1.16,69,YR,2
18/06/2023,130,3,12,3.12,1.54,73,YR,3
5/04/2023,131,3,12,3.12,1.966,73,BrL,0
30/04/2023,131,3,12,3.12,1.51,73,BrL,1
25/05/2023,131,3,12,3.12,1.68,74,BrL,2
18/06/2023,131,3,12,3.12,2.08,77,BrL,3
5/04/2023,132,3,12,3.12,1.817,74,BrR,0
30/04/2023,132,3,12,3.12,1.72,73,BrR,1
25/05/2023,132,3,12,3.12,1.84,73,BrR,2
18/06/2023,132,3,12,3.12,2.69,80,BrR,3
5/04/2023,134,3,12,3.12,1.567,68,RR,0
30/04/2023,134,3,12,3.12,1.28,67,RR,1
